Club now,Name,Pos,DOB,Minutes,Games,Youth Club,Competition
Gresik United,Faris Abdul,DF,2003-07-21,0,0,Persib Bandung,Pegadaian Liga 2
Dewa United,Yofandani Pranata,GK,2001-04-09,0,0,Dewa United,BRI Liga 1
Dewa United,Dafa Al Gasemi,GK,2008-02-12,0,0,Dewa United,BRI Liga 1
Dewa United,Ferian Rizki,DF,2003-01-18,1092,17,Dewa United,BRI Liga 1
Dewa United,M Kafiatur Rizky,MF,2006-07-17,0,0,Dewa United,BRI Liga 1
Dewa United,Dani Saputra,MF,2006-09-01,75,4,Dewa United,BRI Liga 1
Barito Putera,Lassana Doucoure,FW,2003-07-30,0,0,Dewa United,BRI Liga 1
PSKC,Aldiano Safiola,GK,2004-09-27,0,0,Dewa United,Pegadaian Liga 2
PSKC,Adlin Cahya,MF,2004-05-06,1286,18,Dewa United,Pegadaian Liga 2
Bekasi FC,Mirza Zakaria,MF,2004-09-17,848,12,Dewa United,Pegadaian Liga 2
PSKC ,Imanuel Sayuri,MF,2002-03-07,104,4,Dewa United,Pegadaian Liga 2
Adhyaksa,Roy Sandy,MF,2005-04-20,803,16,Dewa United,Pegadaian Liga 2
Persiku,Eltaveeh Akhada,WG,2004-04-20,638,8,Dewa United,Pegadaian Liga 2
Perikas Subang,Bintang Arrahim,DF,2004-05-01,823,17,Dewa United,Pegadaian Liga 2
Persebaya Surabaya,Ernando Ari,GK,2002-02-27,2141,24,Persebaya Surabaya,BRI Liga 1
Persebaya Surabaya,Andhika Ramadhani,GK,1999-01-05,919,13,Persebaya Surabaya,BRI Liga 1
Persebaya Surabaya,Aditya Arya,GK,2004-01-01,0,0,Persebaya Surabaya,BRI Liga 1
Persebaya Surabaya,Lalu M Rizki,GK,2004-02-05,0,0,Persebaya Surabaya,BRI Liga 1
Persebaya Surabaya,Arief Catur,DF,1999-07-25,2307,27,Persebaya Surabaya,BRI Liga 1
Persebaya Surabaya,Alfan Suaib,WG,2004-03-24,338,9,Persebaya Surabaya,BRI Liga 1
Persebaya Surabaya,Toni Firmansyah,MF,2005-01-14,1088,18,Persebaya Surabaya,BRI Liga 1
Persebaya Surabaya,Dzakwan Javier,WG,2007-02-24,0,0,Persebaya Surabaya,BRI Liga 1
Persija Jakarta,Akbar Arjunsyah,DF,2001-07-21,66,4,Persebaya Surabaya,BRI Liga 1
PSIS Semarang,Haykal Alhafiz,DF,2001-03-24,1720,27,Persebaya Surabaya,BRI Liga 1
Persib Bandung,Rachmat Irianto,DF,1999-09-03,654,12,Persebaya Surabaya,BRI Liga 1
Persija Jakarta,Rizky Ridho,DF,2001-11-21,2705,32,Persebaya Surabaya,BRI Liga 1
Persik Kediri,M Supriadi,WG,2002-05-23,197,6,Persebaya Surabaya,BRI Liga 1
Persis Solo,I G Aditya Juliantara,GK,2004-07-04,0,0,Persebaya Surabaya,BRI Liga 1
Persis Solo,Gardhika Arya,DF,2000-08-08,27,2,Persebaya Surabaya,BRI Liga 1
Persis Solo,I G M Rendy Sanjaya,WG,2004-04-11,156,6,Persebaya Surabaya,BRI Liga 1
Madura United,Koko Ari,DF,2000-01-09,2087,24,Persebaya Surabaya,BRI Liga 1
Madura United,Kemaluddin,MF,1999-04-28,339,5,Persebaya Surabaya,BRI Liga 1
Barito Putera,Rahmat Beri,WG,2004-02-02,277,7,Persebaya Surabaya,BRI Liga 1
Persiraja,Dimas Wicaksono,WG,2007-07-16,535,10,Persebaya Surabaya,Pegadaian Liga 2
Persijap,Ichas Baihaqi,MF,2007-03-17,1147,20,Persebaya Surabaya,Pegadaian Liga 2
Persikabo,Syukran Arabia,DF,2003-07-08,122,7,Persebaya Surabaya,Pegadaian Liga 2
Bhayangkara,Raheem Nugraha,WG,2005-06-14,385,11,Persebaya Surabaya,Pegadaian Liga 2
Nusantara,Vengko Armedya,FW,2000-09-19,240,8,Persebaya Surabaya,Pegadaian Liga 2
Nusantara,Ivan Syahdana,FW,2004-06-24,49,2,Persebaya Surabaya,Pegadaian Liga 2
Persikas Subang,Firman A Mutalib,MF,2004-06-20,124,5,Persebaya Surabaya,Pegadaian Liga 2
Persela,Brylian Aldama,MF,2002-02-23,8,1,Persebaya Surabaya,Pegadaian Liga 2
Gresik United,Ulul Arham,GK,2000-04-26,1381,16,Persebaya Surabaya,Pegadaian Liga 2
Gresik United,Visal Akbar,GK,2001-12-17,0,0,Persebaya Surabaya,Pegadaian Liga 2
Gresik United,Putra Pradananta,DF,2005-08-11,999,13,Persebaya Surabaya,Pegadaian Liga 2
Gresik United,Dicky Kurniawan,MF,2002-06-06,1267,20,Persebaya Surabaya,Pegadaian Liga 2
Gresik United,Akbar Firmansyah,WG,2002-06-01,341,13,Persebaya Surabaya,Pegadaian Liga 2
Gresik United,Dian Ardiansyah,WG,1999-01-21,303,9,Persebaya Surabaya,Pegadaian Liga 2
Gresik United,Wahyu Agung,FW,2004-04-29,634,13,Persebaya Surabaya,Pegadaian Liga 2
RANS,Akbar Haris,DF,2002-08-21,525,9,Persebaya Surabaya,Pegadaian Liga 2
Borneo FC,Daffa Fasya,GK,2004-05-07,180,2,Borneo FC,BRI Liga 1
Borneo FC,Yogi Hermawan,GK,2003-01-16,0,0,Borneo FC,BRI Liga 1
Borneo FC,Rizdjar Nurviat,DF,2006-01-02,47,2,Borneo FC,BRI Liga 1
Borneo FC,M Alfaharezzi Buffon,DF,2006-04-28,265,9,Borneo FC,BRI Liga 1
Borneo FC,Dwiky Hardiansyah,MF,2004-04-19,367,9,Borneo FC,BRI Liga 1
Borneo FC,M Sihran,WG,1999-03-08,572,14,Borneo FC,BRI Liga 1
Borneo FC,Asgal Habib,WG,2004-07-08,3,1,Borneo FC,BRI Liga 1
PSBS Biak,Pualam Bahari,GK,2002-05-11,235,5,Borneo FC,BRI Liga 1
Dewa United,Dani Saputra,MF,2006-09-01,75,4,Borneo FC,BRI Liga 1
PSM Makassar,Ardiansyah,GK,2003-03-28,315,4,Borneo FC,BRI Liga 1
Persik Kediri,Hugo Samir,WG,2005-01-25,651,20,Borneo FC,BRI Liga 1
Madura United,Ilhamsyah,MF,1999-07-02,1269,20,Borneo FC,BRI Liga 1
Madura United,Taufany M,MF,2002-03-24,430,15,Borneo FC,BRI Liga 1
Madura United,Yuda Editya P,FW,2004-05-31,24,4,Borneo FC,BRI Liga 1
PSIM,Harlan Suardi,GK,1999-01-26,1350,15,Borneo FC,Pegadaian Liga 2
PSKC,Dennis Diaz,WG,2001-01-28,236,10,Borneo FC,Pegadaian Liga 2
PSMS,M Ardiansyah,MF,2004-06-19,45,1,Borneo FC,Pegadaian Liga 2
PSMS,Oscar Novangga,WG,2004-11-15,0,0,Borneo FC,Pegadaian Liga 2
Bekasi FC,Daud Kotulus,MF,1999-12-16,1068,18,Borneo FC,Pegadaian Liga 2
PSIM,Tegar Islami,MF,2006-02-06,0,0,Borneo FC,Pegadaian Liga 2
PSIM,Arya Gerryan,WG,2001-10-24,949,17,Borneo FC,Pegadaian Liga 2
PSIM,Fajar Akhmad,FW,2005-05-20,11,2,Borneo FC,Pegadaian Liga 2
Nusantara,I Made Tri Somanada,WG,2001-02-19,63,2,Borneo FC,Pegadaian Liga 2
Persekat,Heronimus Liko,DF,2006-11-12,1,1,Borneo FC,Pegadaian Liga 2
Persiku,Rafli Bahasuan,WG,2004-09-18,0,0,Borneo FC,Pegadaian Liga 2
Gresik United,Ridho Al Ikhsan,DF,2006-03-20,180,3,Borneo FC,Pegadaian Liga 2
PSM Makassar,Reza Arya Pratama,GK,2000-05-18,1530,17,PSM Makassar,BRI Liga 1
PSM Makassar,M Ardiansyah,GK,2003-03-28,315,4,PSM Makassar,BRI Liga 1
PSM Makassar,Syamil Bahij Irawan,GK,2005-05-26,0,0,PSM Makassar,BRI Liga 1
PSM Makassar,Sulthan Zaky,DF,2006-03-23,22,2,PSM Makassar,BRI Liga 1
PSM Makassar,M Mufli Hidayat,DF,2005-08-07,363,12,PSM Makassar,BRI Liga 1
PSM Makassar,Ananda Raehan,MF,2003-12-17,1377,25,PSM Makassar,BRI Liga 1
PSM Makassar,Adil Nur Bangsawan,MF,2004-05-10,0,0,PSM Makassar,BRI Liga 1
PSM Makassar,Rizky Eka,WG,1999-12-24,1735,33,PSM Makassar,BRI Liga 1
PSM Makassar,M Dzaky Asraf,WG,2003-02-06,187,9,PSM Makassar,BRI Liga 1
PSM Makassar,Victor Dethan,WG,2004-07-11,1510,25,PSM Makassar,BRI Liga 1
PSM Makassar,Rizal,WG,2001-07-02,0,0,PSM Makassar,BRI Liga 1
PSM Makassar,Ricky Pratama,WG,2003-05-06,1324,32,PSM Makassar,BRI Liga 1
Borneo FC,Dwiky Hardiansyah,MF,2004-04-19,367,9,PSM Makassar,BRI Liga 1
PSKC,Marcell Rumkabu,WG,2005-02-09,0,0,PSM Makassar,Pegadaian Liga 2
Bekasi FC,Rafli Asrul,MF,2003-02-19,593,16,PSM Makassar,Pegadaian Liga 2
Persikota,Aji Kurniawan,WG,2000-07-01,65,2,PSM Makassar,Pegadaian Liga 2
Sriwijaya,Farhan Rahman,MF,2002-03-03,785,12,PSM Makassar,Pegadaian Liga 2
Persikabo,M Redzuan,WG,2005-03-08,450,6,PSM Makassar,Pegadaian Liga 2
PSIM,Edgar Amping,DF,2003-06-09,15,2,PSM Makassar,Pegadaian Liga 2
Persijap,Prince Kallon,WG,2002-02-03,259,17,PSM Makassar,Pegadaian Liga 2
Nusantara,Hersya Scifo,MF,2000-08-06,1122,18,PSM Makassar,Pegadaian Liga 2
Persikas Subang,Takwir Rahman,MF,1999-01-01,608,7,PSM Makassar,Pegadaian Liga 2
Persela,Rafiud Drajat,DF,1999-07-15,459,6,PSM Makassar,Pegadaian Liga 2
Persela,Adrian Sunusi,MF,2004-08-14,53,2,PSM Makassar,Pegadaian Liga 2
Persibo,Raka Okta,GK,2004-10-01,651,8,PSM Makassar,Pegadaian Liga 2
Persija Jakarta,M Hafizh Rizkianur,GK,2006-08-08,0,0,Persija Jakarta,BRI Liga 1
Persija Jakarta,M Ferarri,DF,2003-06-21,1687,23,Persija Jakarta,BRI Liga 1
Persija Jakarta,Ilham Rio Fahmi,DF,2001-10-06,1852,28,Persija Jakarta,BRI Liga 1
Persija Jakarta,Raka Cahyana,DF,2004-02-24,311,10,Persija Jakarta,BRI Liga 1
Persija Jakarta,Resky Fandi,MF,1999-09-06,320,10,Persija Jakarta,BRI Liga 1
Persija Jakarta,Aditya Warman,MF,2005-02-02,53,4,Persija Jakarta,BRI Liga 1
Persija Jakarta,Refan Nadief,MF,2005-06-01,0,0,Persija Jakarta,BRI Liga 1
Persija Jakarta,M Rayhan Hannan,MF,2004-04-02,1008,26,Persija Jakarta,BRI Liga 1
Persija Jakarta,Dony Tri,WG,2005-01-11,820,14,Persija Jakarta,BRI Liga 1
Persija Jakarta,Zahaby Gholy,WG,2008-12-05,2,2,Persija Jakarta,BRI Liga 1
Persija Jakarta,Agi Firmansyah,WG,2005-07-22,0,0,Persija Jakarta,BRI Liga 1
Persija Jakarta,Syahrian Abimanyu,MF,1999-04-25,529,21,Persija Jakarta,BRI Liga 1
Persija Jakarta,Alwi Fadillah,DF,2004-05-10,29,2,Persija Jakarta,BRI Liga 1
PSBS Biak,Salman Alfarid,DF,2002-02-16,696,16,Persija Jakarta,BRI Liga 1
PSBS Biak,Meshal Hamzah,DF,2005-01-25,103,2,Persija Jakarta,BRI Liga 1
Dewa United,Brian Fatari,DF,1999-12-20,1136,19,Persija Jakarta,BRI Liga 1
Dewa United,Alfriyanto Nico,DF,2003-04-03,1666,24,Persija Jakarta,BRI Liga 1
Arema,Achmad Maulana,DF,2003-04-24,2176,26,Persija Jakarta,BRI Liga 1
Persita Tangerang,M Badrian Ilham,MF,2002-06-11,965,24,Persija Jakarta,BRI Liga 1
Persita Tangerang,Ikhwan Ali Tanamal,WG,2003-12-28,1022,19,Persija Jakarta,BRI Liga 1
Persik Kediri,Hamra Hehanussa,DF,1999-07-01,2482,29,Persija Jakarta,BRI Liga 1
Bali United,Taufik Hidayat,FW,1999-12-16,29,1,Persija Jakarta,BRI Liga 1
Madura United,Sandi Arta Samosir,FW,2002-01-08,162,12,Persija Jakarta,BRI Liga 1
Persis Solo,Braif Fatari,MF,2002-04-09,271,6,Persija Jakarta,BRI Liga 1
PSS Sleman,Dia Syayid,DF,2004-12-12,700,9,Persija Jakarta,BRI Liga 1
Barito Putera,Yuswanto Aditya,DF,2000-05-10,927,13,Persija Jakarta,BRI Liga 1
Persis Solo,Pancar Nur W,GK,2000-04-05,0,0,Persija Jakarta,BRI Liga 1
PSPS,Fafa Sheva,DF,2005-04-06,858,16,Persija Jakarta,Pegadaian Liga 2
PSPS,Dwiki Arya,MF,2000-05-01,734,9,Persija Jakarta,Pegadaian Liga 2
PSMS,Assyifa Marhaen,NP,2006-02-25,4,1,Persija Jakarta,Pegadaian Liga 2
PSMS,Nathan Fariel,WG,2005-10-10,509,15,Persija Jakarta,Pegadaian Liga 2
Bekasi FC,Cahya Supriadi,GK,2003-02-11,1386,16,Persija Jakarta,Pegadaian Liga 2
Bekasi FC,Risky Sudirman,GK,2002-02-02,90,1,Persija Jakarta,Pegadaian Liga 2
Bekasi FC,Alwi Fadillah,DF,2004-05-10,492,6,Persija Jakarta,Pegadaian Liga 2
Bekasi FC,Rizky Padilah,FW,2006-03-26,77,2,Persija Jakarta,Pegadaian Liga 2
Bekasi FC,Taufik Rustam,MF,2005-02-11,243,4,Persija Jakarta,Pegadaian Liga 2
Persikota,Adre Arido,GK,2004-08-13,360,4,Persija Jakarta,Pegadaian Liga 2
Persikota,Resa Aditya,MF,2004-03-06,53,4,Persija Jakarta,Pegadaian Liga 2
Dejan FC,Syahwal Ginting,MF,2003-12-01,572,14,Persija Jakarta,Pegadaian Liga 2
Dejan FC,Alfin Esa,WG,2005-02-10,314,9,Persija Jakarta,Pegadaian Liga 2
Dejan FC,Nabil Asyura,FW,2006-07-02,168,5,Persija Jakarta,Pegadaian Liga 2
Dejan FC,Fajar Firdaus,FW,2002-10-21,654,16,Persija Jakarta,Pegadaian Liga 2
Persikabo,Syukran Arabia,DF,2003-07-08,122,7,Persija Jakarta,Pegadaian Liga 2
Bhayangkara,Frengky Deaner,DF,2004-02-20,1335,17,Persija Jakarta,Pegadaian Liga 2
Bhayangkara,Ginanjar Wahyu,WG,2003-11-20,165,8,Persija Jakarta,Pegadaian Liga 2
PSIM,Samuel Simanjuntak,DF,1999-07-31,791,12,Persija Jakarta,Pegadaian Liga 2
PSIM,Figo Dennis,MF,2006-04-28,182,8,Persija Jakarta,Pegadaian Liga 2
PSIM,Arlyansyah Abdul Manan,WG,2005-12-20,833,12,Persija Jakarta,Pegadaian Liga 2
Persijap,Rangga Widiansyah,DF,2002-04-24,2060,23,Persija Jakarta,Pegadaian Liga 2
Adhyaksa,Bufon Sugandi,GK,2001-12-28,0,0,Persija Jakarta,Pegadaian Liga 2
Adhyaksa,Ahmad Raia Irvanza,FW,2005-03-18,15,1,Persija Jakarta,Pegadaian Liga 2
Nusantara,Ifan Izdihar,DF,2003-11-21,797,14,Persija Jakarta,Pegadaian Liga 2
Nusantara,Hersya Scifo,MF,2000-08-06,1122,18,Persija Jakarta,Pegadaian Liga 2
Persiku,Farhan Sopiulloh,DF,2005-05-10,181,3,Persija Jakarta,Pegadaian Liga 2
Persiku,Jehan Pahlevi,WG,2006-03-18,520,9,Persija Jakarta,Pegadaian Liga 2
Persiku,Sutan Zico,FW,2002-04-07,74,3,Persija Jakarta,Pegadaian Liga 2
Persela,Rayhan Utina,DF,2004-08-08,1270,18,Persija Jakarta,Pegadaian Liga 2
Persela,Rafiud Drajat,DF,1999-07-15,459,6,Persija Jakarta,Pegadaian Liga 2
Persela,Ihsan Kusuma,DF,2006-07-28,144,6,Persija Jakarta,Pegadaian Liga 2
Deltras,Amirul Fisabilillah,DF,2006-11-25,799,11,Persija Jakarta,Pegadaian Liga 2
Deltras,M Amar Fadzillah,MF,2002-02-08,1453,19,Persija Jakarta,Pegadaian Liga 2
Persibo,Hadi Ardiansyah,DF,2000-12-01,552,8,Persija Jakarta,Pegadaian Liga 2
Persipal,Ibnu Yazid,DF,2006-01-18,0,0,Persija Jakarta,Pegadaian Liga 2
RANS,Ammar Attamimi,MF,2003-03-22,0,0,Persija Jakarta,Pegadaian Liga 2
Bali United,Wayan Arta,GK,2006-10-01,0,0,Bali United,BRI Liga 1
Bali United,I Komang Aryantara,GK,2005-04-01,0,0,Bali United,BRI Liga 1
Bali United,Kadek Arel,DF,2005-04-04,1452,17,Bali United,BRI Liga 1
Bali United,Komang Tri Arta,DF,2001-01-24,200,7,Bali United,BRI Liga 1
Bali United,Komang Dedi Nova,DF,2003-11-23,1,1,Bali United,BRI Liga 1
Bali United,Made Tito,MF,2003-07-31,823,11,Bali United,BRI Liga 1
Bali United,I Gede Sunu Jyesta,MF,2002-04-28,0,0,Bali United,BRI Liga 1
Bali United,Maouri Simon,MF,2006-11-09,7,1,Bali United,BRI Liga 1
Bali United,Rahmat Arjuna,WG,2004-04-30,1747,31,Bali United,BRI Liga 1
Bali United,Kadek Lanang Agus,WG,2002-11-23,189,4,Bali United,BRI Liga 1
Bali United,I Nyoman Adi Wirya,WG,2003-07-07,395,6,Bali United,BRI Liga 1
Bali United,Nathan Ari,WG,2006-08-03,54,2,Bali United,BRI Liga 1
Bali United,Dillan Rinaldi,WG,2005-06-01,1,1,Bali United,BRI Liga 1
Dewa United,Feby Eka,WG,1999-02-12,405,18,Bali United,BRI Liga 1
Persis Solo,Irfan Jauhari,WG,2001-01-31,916,21,Bali United,BRI Liga 1
Malut United,Ahmad Wadil,MF,2003-06-09,618,24,Bali United,BRI Liga 1
Arema,Bayu Aji,DF,2000-01-31,226,4,Bali United,BRI Liga 1
Persita Tangerang,Aji Kusuma,FW,1999-01-30,763,24,Bali United,BRI Liga 1
Persis Solo,I G M Rendy Sanjaya,WG,2004-04-11,156,6,Bali United,BRI Liga 1
PSPS,Ilham Syarif,DF,2000-05-25,816,17,Bali United,Pegadaian Liga 2
Persikota,Marcell Januar,DF,2004-01-20,170,3,Bali United,Pegadaian Liga 2
Sriwijaya,Rahma Nico,DF,2000-07-14,1172,15,Bali United,Pegadaian Liga 2
Sriwijaya,Fauzan Hanif,MF,2005-05-06,412,8,Bali United,Pegadaian Liga 2
Sriwijaya,Sheva Yansa,WG,2004-04-08,256,5,Bali United,Pegadaian Liga 2
Persikabo,Chairil Zul Azhar,GK,1999-03-19,1192,14,Bali United,Pegadaian Liga 2
PSIM,Ghulam Fatkur,MF,1999-04-11,456,13,Bali United,Pegadaian Liga 2
Persijap,Bintang Yudha,WG,2004-04-11,0,0,Bali United,Pegadaian Liga 2
Adhyaksa,Jefri Wibowo,GK,1999-01-31,1530,17,Bali United,Pegadaian Liga 2
Nusantara,Rakasurya Handika,GK,2000-06-13,1080,12,Bali United,Pegadaian Liga 2
Nusantara,I Made Kaicen,GK,2004-03-15,0,0,Bali United,Pegadaian Liga 2
Nusantara,I G Agus Mahendra,DF,2002-06-01,411,7,Bali United,Pegadaian Liga 2
Nusantara,I Made Tri Somanada,WG,2001-02-19,63,2,Bali United,Pegadaian Liga 2
Nusantara,K Nathan Suarnatya,FW,2005-01-27,180,2,Bali United,Pegadaian Liga 2
Persipa,I M Dwi Meiyana,DF,2003-05-02,1014,12,Bali United,Pegadaian Liga 2
Persipa,Andre Pangestu,DF,2006-01-22,341,7,Bali United,Pegadaian Liga 2
Persela,Ocvian Chanigio,MF,1999-10-16,843,13,Bali United,Pegadaian Liga 2
Persibo,Reza Irfana,MF,1999-07-09,455,11,Bali United,Pegadaian Liga 2
Gresik United,Dian Ardiansyah,WG,1999-01-21,303,9,Bali United,Pegadaian Liga 2
PSBS Biak,Rui Aiboy,WG,2004-01-19,31,1,PSBS Biak,BRI Liga 1
PSKC Cimahi,Thomas Wandikbo,DF,2003-03-05,0,0,PSBS Biak,Pegadaian Liga 2
Arema,Andrian Casvari,GK,1999-06-30,0,0,Arema,BRI Liga 1
Arema,Bayu Aji,DF,2000-01-31,226,4,Arema,BRI Liga 1
Arema,Iksan Lestaluhu,DF,2003-10-13,396,15,Arema,BRI Liga 1
Arema,Hamzah Titofani,WG,2021-07-13,266,16,Arema,BRI Liga 1
Arema,Flabio Soares,WG,1999-02-02,15,1,Arema,BRI Liga 1
PSS Sleman,Achmad Figo,DF,2001-12-25,1122,23,Arema,BRI Liga 1
PSS Sleman,Gilang Oktavana,DF,2002-10-02,35,2,Arema,BRI Liga 1
PSMS,Fadhil Lubis,DF,2005-02-08,0,0,Arema,Pegadaian Liga 2
Bekasi FC,Titan Agung,FW,2001-06-05,374,8,Arema,Pegadaian Liga 2
Adhyaksa,Andriyas Francisco,GK,2000-07-08,451,6,Arema,Pegadaian Liga 2
Adhyaksa,Aldito Quarisma,MF,2004-10-15,112,2,Arema,Pegadaian Liga 2
Nusantara,Adika Ardhiswara,WG,2006-12-12,0,0,Arema,Pegadaian Liga 2
Persipal,Aqsal Mustafa,WG,2001-09-08,0,0,Arema,Pegadaian Liga 2
Gresik United,Didan Paulista,WG,2004-06-09,75,5,Arema,Pegadaian Liga 2
RANS,Galih Ibrahim,MF,2004-03-10,342,7,Arema,Pegadaian Liga 2
RANS,Roista Susilo,FW,2000-09-09,0,0,Arema,Pegadaian Liga 2
Persita Tangerang,M Darmawan,GK,2002-03-16,0,0,Persita Tangerang,BRI Liga 1
Persita Tangerang,Rizwan Haikal,GK,2004-04-16,0,0,Persita Tangerang,BRI Liga 1
Persita Tangerang,Charisma Fathoni,DF,2001-02-25,423,10,Persita Tangerang,BRI Liga 1
Persita Tangerang,Rifky Dwi Septiawan,MF,2002-02-03,1220,19,Persita Tangerang,BRI Liga 1
Persita Tangerang,M Badrian Ilham,MF,2002-06-11,965,24,Persita Tangerang,BRI Liga 1
Persita Tangerang,Andrean Rindorindo,MF,2004-05-02,443,10,Persita Tangerang,BRI Liga 1
Persita Tangerang,Ahmad Fahd,MF,2003-12-16,519,9,Persita Tangerang,BRI Liga 1
Persita Tangerang,Adeyemmy Makinde,MF,2004-05-21,0,0,Persita Tangerang,BRI Liga 1
Persita Tangerang,M Afganiladin,MF,2001-10-22,15,3,Persita Tangerang,BRI Liga 1
Persita Tangerang,Sahrul Reza Mugi,MF,2002-04-19,0,0,Persita Tangerang,BRI Liga 1
Persita Tangerang,Esal Sahrul,WG,2002-03-14,576,15,Persita Tangerang,BRI Liga 1
Persita Tangerang,Yardan Yafi,WG,2004-01-15,1298,29,Persita Tangerang,BRI Liga 1
Persita Tangerang,Ikhwan Ali Tanamal,WG,2003-12-28,1022,19,Persita Tangerang,BRI Liga 1
Persita Tangerang,Cois Artomoro,WG,2003-04-02,19,1,Persita Tangerang,BRI Liga 1
Persita Tangerang,Surya Budi,WG,2002-01-28,0,0,Persita Tangerang,BRI Liga 1
Persita Tangerang,Mufti Rahim,FW,2005-01-18,0,0,Persita Tangerang,BRI Liga 1
Dewa United,Alta Ballah,DF,2000-12-30,2295,32,Persita Tangerang,BRI Liga 1
PSIS Semarang,Aulia Rahman,FW,2006-08-20,176,8,Persita Tangerang,BRI Liga 1
PSIS Semarang,Debby Liana,FW,2005-12-21,0,0,Persita Tangerang,BRI Liga 1
Persikota,Andik Samsudin,MF,2002-06-06,239,8,Persita Tangerang,Pegadaian Liga 2
Persikota,Tedja Kusuma,WG,2006-09-16,1038,16,Persita Tangerang,Pegadaian Liga 2
Dejan FC,Duta Atapelwa,MF,2001-01-28,1250,16,Persita Tangerang,Pegadaian Liga 2
Sriwijaya,Masagus Zakaria,WG,2002-10-20,211,8,Persita Tangerang,Pegadaian Liga 2
Persikabo,Ahmad Wahyudi,DF,2001-08-24,793,12,Persita Tangerang,Pegadaian Liga 2
Persikabo,Fillah Rohmatuloh,FW,2003-05-17,388,7,Persita Tangerang,Pegadaian Liga 2
