Name,Team,Competition,Minutes
Muhammad Rhaka Syafaka Bilhuda,Persib Bandung,Liga 1,0
Nazriel Alfaro Syahdan,Persib Bandung,Liga 1,11
Robi Darwis,Persib Bandung,Liga 1,132
Zulkifli Lukmansyah,Persib Bandung,Liga 1,0
Aditya Warman,Persija Jakarta,Liga 1,337
Arlyansyah Abdulmanan,Persija Jakarta,Liga 1,486
Dia Syayid Alhawari,Persija Jakarta,Liga 1,93
Dony Tri Pamungkas,Persija Jakarta,Liga 1,2044
Mauro Nils Zijlstra,Persija Jakarta,Liga 1,92
Muhamad Hafizh Rizkianur,Persija Jakarta,Liga 1,90
Muhammad Baihaqi Rifai,Persija Jakarta,Liga 1,0
Muhammad Rayhan Hannan,Persija Jakarta,Liga 1,996
Ahmad Raia Irvanza Arditian,Persijap Jepara,Liga 1,0
Dicky Kurniawan Arifin,Persijap Jepara,Liga 1,955
Muh. Ardiansyah,Persijap Jepara,Liga 1,404
Rahmat Hidayat,Persijap Jepara,Liga 1,2403
Ardi Ardiana,Persijap Jepara,Liga 1,112
Felix Marcelino,Persijap Jepara,Liga 1,0
Firman Ramadhan,Persijap Jepara,Liga 1,938
Heriansyah Yan,Persijap Jepara,Liga 1,0
Indra Arya Perceka Wiguna,Persijap Jepara,Liga 1,750
Muhammad Adzikry Fadlillah,Persijap Jepara,Liga 1,787
Muhammad Raufa Aghastya,Persijap Jepara,Liga 1,0
Putra Sheva Sanggasi,Persijap Jepara,Liga 1,0
Rendi Saepul,Persijap Jepara,Liga 1,887
Restu Muhamad Akbar,Persijap Jepara,Liga 1,121
Seva Bernadine Setiadi,Persijap Jepara,Liga 1,0
Zahran Rizki Alamsah,Persijap Jepara,Liga 1,64
Mochamad Zidane Afreza,Persik Kediri,Liga 1,0
Husna Al Malik Riwani Saputra,Persik Kediri,Liga 1,540
I Gusti Made Rendy Sanjaya Putra,Persik Kediri,Liga 1,906
Rifqi Ray Farandi,Persik Kediri,Liga 1,243
Wigi Pratama,Persik Kediri,Liga 1,462
Alfriyanto Nico Saputro,Persis Solo,Liga 1,728
Althaf Indie Alrizky,Persis Solo,Liga 1,1677
Arkhan Kaka Putra Purwanto,Persis Solo,Liga 1,282
I Gede Aditya Juli Antara,Persis Solo,Liga 1,0
Ikwan Ali Tanamal,Persis Solo,Liga 1,491
Muhammad Faqih Maulana,Persis Solo,Liga 1,26
Muhammad Faza Al Firdaus,Persis Solo,Liga 1,0
Rexo Dolby Callepso,Persis Solo,Liga 1,0
Rizky Syahputra,Persis Solo,Liga 1,0
Zanadin Fariz,Persis Solo,Liga 1,2139
Muhammad Badrian Ilham,Persita Tangerang,Liga 1,0
Aep Nursofyan,Persita Tangerang,Liga 1,49
M. Zulfan Djiaulhaq Mukti,Persita Tangerang,Liga 1,587
Ahmad Fahd Alchoir,Persita Tangerang,Liga 1,232
Andrean Benyamin Rindorindo,Persita Tangerang,Liga 1,68
Andriano Saputra,Persita Tangerang,Liga 1,211
Cois Artomoro Raya,Persita Tangerang,Liga 1,0
Dafiq Firdaus,Persita Tangerang,Liga 1,0
Evan .a. Tuhuteru,Persita Tangerang,Liga 1,45
Hokky Caraka Bintang Brilliant,Persita Tangerang,Liga 1,1864
Rafi Pamungkas,Persita Tangerang,Liga 1,0
Rizwan Haikal,Persita Tangerang,Liga 1,0
Yardan Yafi,Persita Tangerang,Liga 1,0
Arjuna Agung,PSBS Biak,Liga 1,1124
Ahmad Nibroosul Adli,PSBS Biak,Liga 1,0
Alvino Rizky Putra Sumantri,PSBS Biak,Liga 1,0
Bintang Angkasa Putra Negara,PSBS Biak,Liga 1,0
Epsan Lifinus Runesi,PSBS Biak,Liga 1,0
Fajar Galih Utomo,PSBS Biak,Liga 1,0
Fathan Nabil Pradipta,PSBS Biak,Liga 1,0
Gavin Ganendra Maheswara,PSBS Biak,Liga 1,0
Gesang Cahyaning Rizki Suparman,PSBS Biak,Liga 1,0
Leo Andreas Mosey,PSBS Biak,Liga 1,0
Muhamad Syathir Alwansyah,PSBS Biak,Liga 1,0
Muhammad Fadli Saputra,PSBS Biak,Liga 1,0
Muhammad Ilham,PSBS Biak,Liga 1,0
Muhammad Imam Bochari Mhoe,PSBS Biak,Liga 1,0
Muhammad Naufal Al-ghani,PSBS Biak,Liga 1,0
Pasha Wicaksono Susilo,PSBS Biak,Liga 1,2
Rahel Aji Saputra,PSBS Biak,Liga 1,45
Raissa Oktavian,PSBS Biak,Liga 1,100
Rayshal Keanu Zidan,PSBS Biak,Liga 1,0
Wafi Naufal Rinaldi,PSBS Biak,Liga 1,0
Alfan Tri Sakti Wardyansyah,PSBS Biak,Liga 1,50
Claudio Beckham De Oliveira,PSBS Biak,Liga 1,92
Damianus Adiman Putra,PSBS Biak,Liga 1,2295
Ians Mordekhai Rumbewas,PSBS Biak,Liga 1,63
Moses Elias Almendo Madjar,PSBS Biak,Liga 1,704
Raja Imam Siregar,PSBS Biak,Liga 1,620
Solfanus Juan Carlos Madjar,PSBS Biak,Liga 1,90
Thobias Parviddya Junior Solossa,PSBS Biak,Liga 1,369
Urbanus Kevin Lasol,PSBS Biak,Liga 1,99
Cahya Supriadi,PSIM Yogyakarta,Liga 1,2879
Dede Sapari,PSIM Yogyakarta,Liga 1,105
Gilang Ardha Pradipta Purnama,PSIM Yogyakarta,Liga 1,0
Khairul Fikri Ma’arif,PSIM Yogyakarta,Liga 1,90
Raka Cahyana Rizky,PSIM Yogyakarta,Liga 1,2438
Jamil Al Rahman,PSM Makassar,Liga 1,0
Kaka Amrullah Ronaldo Messi,PSM Makassar,Liga 1,45
Kgph.rk.poetro Negoro,PSM Makassar,Liga 1,0
Muh. Fathur Ramadhany,PSM Makassar,Liga 1,0
Achmat Fahrul Aditia,PSM Makassar,Liga 1,381
Ananda Raehan Alief,PSM Makassar,Liga 1,1343
Gala Pagamo,PSM Makassar,Liga 1,66
Karel Ridzald Iek,PSM Makassar,Liga 1,115
Muh. Ardiansyah,PSM Makassar,Liga 1,404
Muh. Dzaki Asraf Huwaidi,PSM Makassar,Liga 1,302
Muh. Mufli Hidayat,PSM Makassar,Liga 1,1060
Muhammad Arham Darmawan,PSM Makassar,Liga 1,62
Ricky Pratama,PSM Makassar,Liga 1,461
Victor Jonson Benjamin Dethan,PSM Makassar,Liga 1,1212
Aditya Sentosa,Semen Padang,Liga 1,19
Ghifari Azhhari,Semen Padang,Liga 1,34
M. Syaiful Asri,Semen Padang,Liga 1,0
Ade Kristiano,Semen Padang,Liga 1,550
Armando Obet Oropa,Semen Padang,Liga 1,657
Ferdiansyah,Semen Padang,Liga 1,126
Firman Juliansyah,Semen Padang,Liga 1,1490
Muhammad Farel Putra Wardani,Semen Padang,Liga 1,0
Wahyu Agong Drajat Mulyono,Semen Padang,Liga 1,10
Abdul Kadir Jailani Toyo,Adhyaksa FC Banten,Liga 2,301
Bufon Dwi Sugandi,Adhyaksa FC Banten,Liga 2,10
Rahmad Dandy Sonriza,Adhyaksa FC Banten,Liga 2,1611
Farik Rizqi,Adhyaksa FC Banten,Liga 2,0
Miraj Rizky Sulaeman,Adhyaksa FC Banten,Liga 2,0
Aaron Yekti,Adhyaksa FC Banten,Liga 2,774
Fardan Ary Setyawan,Adhyaksa FC Banten,Liga 2,0
Muhamad Al Gazani Dwi Sugandi,Adhyaksa FC Banten,Liga 2,47
Muhamad Bintang Marwah,Adhyaksa FC Banten,Liga 2,0
Razan Syifa Nur Akbar,Adhyaksa FC Banten,Liga 2,381
Roy Sandy,Adhyaksa FC Banten,Liga 2,627
Satrio Mega Insan,Adhyaksa FC Banten,Liga 2,870
Ahmad,Deltras FC,Liga 2,0
Faizal Rahmad Agung Maulana,Deltras FC,Liga 2,0
Hamzah Titofani Rivaldi,Deltras FC,Liga 2,1542
Catur Bima Ramadani,Deltras FC,Liga 2,0
Muhammad Fauzi,Deltras FC,Liga 2,0
Amirul Amin Fisabilillah,Deltras FC,Liga 2,2261
I Komang Aryantara,Deltras FC,Liga 2,90
Kaka Reda Depriadi,Deltras FC,Liga 2,381
Meshaal Hamzah Bashier Osman,Deltras FC,Liga 2,854
Muhammad Rasha Alfanorizkillah Efendi,Deltras FC,Liga 2,48
Rafly Juniar Dwi Udayana,Deltras FC,Liga 2,33
Andre Oktaviansyah,FC Bekasi City,Liga 2,267
Diandra Diaz Dewari,FC Bekasi City,Liga 2,743
Ikram Al Giffari,FC Bekasi City,Liga 2,1674
Mhd Ikhsan Chan,FC Bekasi City,Liga 2,524
Mirza Zakaria,FC Bekasi City,Liga 2,390
Muhammad Fadly,FC Bekasi City,Liga 2,399
Ragil Dimas Tri Prasetyo,FC Bekasi City,Liga 2,1672
Farhan Fadillah,FC Bekasi City,Liga 2,315
M. Farhan Saviola,FC Bekasi City,Liga 2,181
Muhammad Hamka Hamzah,FC Bekasi City,Liga 2,114
Putra Qadafi,FC Bekasi City,Liga 2,418
Sholakhul Fikril Mu’addom,Garudayaksa,Liga 2,6
Alfin Faiz Kelilauw,Garudayaksa,Liga 2,1748
Dheco Hari Zacky,Garudayaksa,Liga 2,838
Muhammad Ikram Butar Butar,Garudayaksa,Liga 2,0
Muhammad Raihan Utama,Garudayaksa,Liga 2,860
Rygan Dio Pramudya,Garudayaksa,Liga 2,12
Gevin Engelbert Simopiaref,Kendal Tornado FC,Liga 2,90
Ifan Izdihar Iyananda,Kendal Tornado FC,Liga 2,0
La Sami La Ode Naidi,Kendal Tornado FC,Liga 2,16
Marius Ahoren,Kendal Tornado FC,Liga 2,97
Moh. Yudha,Kendal Tornado FC,Liga 2,269
Alfath Diaz Ardhika,Kendal Tornado FC,Liga 2,507
Difo Prasetya,Kendal Tornado FC,Liga 2,5
Fahri Akbar Romadhon,Kendal Tornado FC,Liga 2,223
Husein Akbar Al Fauzi,Kendal Tornado FC,Liga 2,0
Joiner Kareth,Kendal Tornado FC,Liga 2,0
Muhamad Ragil,Kendal Tornado FC,Liga 2,1793
Rangga Dwi Lesmana,Kendal Tornado FC,Liga 2,2
Saiful Arifin,Kendal Tornado FC,Liga 2,56
Yulfikar Mansur Bayuaji,Kendal Tornado FC,Liga 2,17
Eduard Rocky Mandosir,Persekat Tegal,Liga 2,1451
Faisal Ramadani,Persekat Tegal,Liga 2,628
Lalu Muhammad Rizki,Persekat Tegal,Liga 2,270
Muhamad Reza Zuhro Ussurur,Persekat Tegal,Liga 2,249
Muhammad Madrid Augusta Iskandar,Persekat Tegal,Liga 2,217
Nur Fajar Pratama,Persekat Tegal,Liga 2,627
Ramadhan Yusuf Fitra Al Akbar,Persekat Tegal,Liga 2,0
Dirk Lukas Auri,Persekat Tegal,Liga 2,195
Fedly Damara,Persekat Tegal,Liga 2,609
Iqbal Maulana Ahmad,Persekat Tegal,Liga 2,412
Jordan Oktoserfianus Sette,Persekat Tegal,Liga 2,0
Marcell Mambenuk Rumkabu,Persekat Tegal,Liga 2,90
Muhammad Khoirul Amin,Persekat Tegal,Liga 2,95
Nathan Ari Pramana,Persekat Tegal,Liga 2,298
Dimas Juliono Pamungkas,Persela Lamongan,Liga 2,778
Muhammad Yoga Wahyu Pratama,Persela Lamongan,Liga 2,836
Rabbani Tasnim Siddiq,Persela Lamongan,Liga 2,85
Deva Naufal Ahnaf,Persela Lamongan,Liga 2,127
Haikal Rihka Riza,Persela Lamongan,Liga 2,372
Muh. Sadewa,Persela Lamongan,Liga 2,836
Muhamad Tedja Kusuma Aryatama,Persela Lamongan,Liga 2,400
Muhammad Affani Ubaidillah,Persela Lamongan,Liga 2,658
Rifky Tofani,Persela Lamongan,Liga 2,21
Wildan Hanif Mumtaz,Persela Lamongan,Liga 2,163
Arsa Ramadan Ahmad,Persiba Balikpapan,Liga 2,410
Bintang Arrahim,Persiba Balikpapan,Liga 2,1801
Danu Agusta Pratama,Persiba Balikpapan,Liga 2,12
Gufran,Persiba Balikpapan,Liga 2,7
Jonathan Arya Prawira,Persiba Balikpapan,Liga 2,32
Mahyu Danil Reza,Persiba Balikpapan,Liga 2,363
Muhammad Ilham,Persiba Balikpapan,Liga 2,716
Valda Uzlah,Persiba Balikpapan,Liga 2,1094
Achmad Alfarizi,Persiba Balikpapan,Liga 2,0
Anggi Prasito,Persiba Balikpapan,Liga 2,157
I Komang Ananta Krisna Putra,Persiba Balikpapan,Liga 2,483
Ibnu Yazid Al Mustaufiz,Persiba Balikpapan,Liga 2,565
Mohamad Andre Pangestu,Persiba Balikpapan,Liga 2,664
Muhammad Isfandyar Abdillah,Persiba Balikpapan,Liga 2,2177
Muhammad Nassim Fauzi Ramadhan,Persiba Balikpapan,Liga 2,0
Alif Eka Rizky,Persikad Depok,Liga 2,248
Aulia Ramadhan,Persikad Depok,Liga 2,1241
Eros Dermawan,Persikad Depok,Liga 2,431
Imus Wiranda,Persikad Depok,Liga 2,1834
Muhamad Reza Alfariz,Persikad Depok,Liga 2,0
Reza Anugrah Putra Lubis,Persikad Depok,Liga 2,890
Ardian Syahputra Siregar,Persikad Depok,Liga 2,26
Bil’asqan Hi Tenang,Persikad Depok,Liga 2,688
Daniel Alfrido,Persikad Depok,Liga 2,0
M. Ghozali Aufathul Akbar,Persikad Depok,Liga 2,237
Marselinus Ama Ola,Persikad Depok,Liga 2,1248
Yehezkiel Elia Petra,Persikad Depok,Liga 2,180
Dheo Budi Prakoso,Persiku Kudus,Liga 2,630
Fathul Ihsan,Persiku Kudus,Liga 2,321
Muhammad Khoirul Anam,Persiku Kudus,Liga 2,1025
Abdul Khafid,Persiku Kudus,Liga 2,891
Hugo Samir,Persiku Kudus,Liga 2,490
M. Alberta Nino Santoso,Persiku Kudus,Liga 2,342
Muhamad Firman Januari,Persiku Kudus,Liga 2,493
Muhammad Putra Pradananta,Persiku Kudus,Liga 2,271
Rifael Salmon,Persiku Kudus,Liga 2,73
Kadek Lanang Agus Surya Artayana,Persipal FC,Liga 2,541
Karel Ridzald Iek,Persipal FC,Liga 2,492
M. Alim Hidayatullah,Persipal FC,Liga 2,462
Rexy,Persipal FC,Liga 2,341
Wiraja Aria Fadhil Aulia,Persipal FC,Liga 2,354
Jay Amru Ghoni,Persipal FC,Liga 2,266
Mohamad Rizki,Persipal FC,Liga 2,384
Muh Izam,Persipal FC,Liga 2,1507
Muh. Syahril Aidil,Persipal FC,Liga 2,72
Muhammad Arham Darmawan,Persipal FC,Liga 2,718
Muhammad Fauzan Hanif Zulkarnain,Persipal FC,Liga 2,675
Jeam Kelly Sroyer,Persipura,Liga 2,1524
Sewori Marcelino Rombe Aisoki,Persipura,Liga 2,14
Sukandar Rumidi Kansai,Persipura,Liga 2,97
Yerimia Stanley Menzo Merauje,Persipura,Liga 2,0
Alexandro Felix Kamuru,Persipura,Liga 2,16
Augusto Dennis Imanuel Ivakdalam,Persipura,Liga 2,15
Gelfias Yance Waicang,Persipura,Liga 2,194
Markus Otto Alberti Madjar,Persipura,Liga 2,923
Reno Salampessy,Persipura,Liga 2,1440
Al Muzanni,Persiraja Banda Aceh,Liga 2,564
Asgal Habib Altarik,Persiraja Banda Aceh,Liga 2,950
Faris Adit Saputra,Persiraja Banda Aceh,Liga 2,696
Aprilian Bernadus,Persiraja Banda Aceh,Liga 2,141
Fava Sheva Rustanto,Persiraja Banda Aceh,Liga 2,1118
Maulana Ilham Jaya Kusuma,Persiraja Banda Aceh,Liga 2,12
Muh. Ariel Kurung,Persiraja Banda Aceh,Liga 2,2160
Muhammad Ihsan Kusuma S,Persiraja Banda Aceh,Liga 2,1292
Aditiya Daffa Al Haqi,Barito Putera,Liga 2,1821
Doucoure Lassana,Barito Putera,Liga 2,123
Muhammad Aimar Iskandar Alam,Barito Putera,Liga 2,1184
Rahmat Beri Santoso,Barito Putera,Liga 2,106
Arya Satria Saputra,Barito Putera,Liga 2,29
Aditia Nur Mahpud,Barito Putera,Liga 2,1169
Basajump Latuconsina,Barito Putera,Liga 2,658
Danda Rama Febriyanto,Barito Putera,Liga 2,0
Erwin Gerard Edginatagi,Barito Putera,Liga 2,141
Muhammad Iqbal Gwijangge,Barito Putera,Liga 2,89
Pramoedya Putra Suhardi,Barito Putera,Liga 2,879
Dani Parsaoran Sormin,PSIS Semarang,Liga 2,478
Doni Halomoan Sormin,PSIS Semarang,Liga 2,586
Muhammad Alwi Fadilah,PSIS Semarang,Liga 2,1044
Raka Octa Bernanda,PSIS Semarang,Liga 2,144
Azyah Nur Faizin Madilesa,PSIS Semarang,Liga 2,965
Habil Abdillah Ya’fi Prasasti Akbar,PSIS Semarang,Liga 2,639
Krisna Sulistia Budianto,PSIS Semarang,Liga 2,843
Muhammad Dani Ibrohim,PSIS Semarang,Liga 2,1738
Rangga Sumarna,PSIS Semarang,Liga 2,113
Reiva Apriliansyah,PSIS Semarang,Liga 2,197
Ahmad Wadil Aryadi Abidin,PSMS Medan,Liga 2,244
Muhammad Adlin Cahya Prastya,PSMS Medan,Liga 2,1447
Zikri Ferdiansyah,PSMS Medan,Liga 2,748
Abdul Zaki Alim,PSMS Medan,Liga 2,243
Aditya Ramadhan,PSMS Medan,Liga 2,0
Dani Saputra,PSMS Medan,Liga 2,893
Husain Anshori,PSMS Medan,Liga 2,0
Mohammad Fazri,PSMS Medan,Liga 2,0
Muhammad Zaki Ali,PSMS Medan,Liga 2,23
Achmad Riyadi,PSPS Pekanbaru,Liga 2,1635
Aditya Arya Nugraha,PSPS Pekanbaru,Liga 2,70
Asir,PSPS Pekanbaru,Liga 2,2099
Brandon Marsel Scheunemann,PSPS Pekanbaru,Liga 2,135
Erlangga Setyo Dwi Saputra,PSPS Pekanbaru,Liga 2,643
Hendika Pratama,PSPS Pekanbaru,Liga 2,0
Nugroho Santoso,PSPS Pekanbaru,Liga 2,974
Pramudya Dwi Trenady,PSPS Pekanbaru,Liga 2,115
Rendy Juliansyah,PSPS Pekanbaru,Liga 2,415
Reyhan Firdaus,PSPS Pekanbaru,Liga 2,488
Davian Rayana Digtaradani,PSPS Pekanbaru,Liga 2,0
M. Rafly I. Selang,PSPS Pekanbaru,Liga 2,1446
Muhammad Zidan Khairullah Rahmadhany,PSPS Pekanbaru,Liga 2,1380
Radittia Agustin,PSPS Pekanbaru,Liga 2,144
Cloudio Faiera Mutzi,PSS Sleman,Liga 2,43
Dominikus Dion Oktawian Wibowo,PSS Sleman,Liga 2,2237
Fadel Ahmad Arrafi,PSS Sleman,Liga 2,0
Figo Dennis Saputrananto,PSS Sleman,Liga 2,710
Jehan Pahlevi,PSS Sleman,Liga 2,138
Muhammad Fariz,PSS Sleman,Liga 2,396
Rezin Diop Wamu,PSS Sleman,Liga 2,0
Safa’at Arif Alan Romadhona,PSS Sleman,Liga 2,13
Achmad Zidan Ar Rosyid,PSS Sleman,Liga 2,0
Fadhilah Tegar Nur Aziz,PSS Sleman,Liga 2,620
Ferrel Arda Santoso,PSS Sleman,Liga 2,45
Mohammad Saiful Djoge,PSS Sleman,Liga 2,1481
Relosa Rivan Satria Hutama,PSS Sleman,Liga 2,63
Yuniar Anif Budi Saputra,PSS Sleman,Liga 2,0
Agni Fathurahman,Sriwijaya FC,Liga 2,245
Alfiansyah,Sriwijaya FC,Liga 2,0
King Erick Cantona,Sriwijaya FC,Liga 2,195
M Revan Joni Nurianto,Sriwijaya FC,Liga 2,213
Oscar Novangga,Sriwijaya FC,Liga 2,679
Rizky Dwi Nugraha Asyari,Sriwijaya FC,Liga 2,720
Sayfullah Kader,Sriwijaya FC,Liga 2,443
Tegar Andrie Shevanton,Sriwijaya FC,Liga 2,71
Aaron Yekti,Sriwijaya FC,Liga 2,774
Abdul Rahman Faqih Tahapary,Sriwijaya FC,Liga 2,45
Febrian Firlana Putra,Sriwijaya FC,Liga 2,0
M Zarhan Fahrezi,Sriwijaya FC,Liga 2,377
Mukhti Arya Muslim,Sriwijaya FC,Liga 2,981
Jalesh Putra Gagarin,Sumsel United,Liga 2,187
Syafrinaldi,Sumsel United,Liga 2,8
Mohamad Syahril Afrizal,Sumsel United,Liga 2,1226
Muhammad Ickbal Maulana,Sumsel United,Liga 2,104
Muhammad Iqbal Nugraha,Sumsel United,Liga 2,0
Mulyadi Rani,Sumsel United,Liga 2,0
Nathan Fariel Kusuma,Sumsel United,Liga 2,1217
Rifki Sinung Prasetyo,Sumsel United,Liga 2,0
