Team,Competition,Name,DoB,Age,Nationality,MOP
AREMA FC,BRI SUPER LEAGUE 2025-26,SNEYDER JULIAN GUEVARA MUNOZ,5/4/92,34,Colombia,1402
AREMA FC,BRI SUPER LEAGUE 2025-26,VALDECI MOREIRA DA SILVA,3/26/95,31,Brasil,1212
AREMA FC,BRI SUPER LEAGUE 2025-26,WALISSON MOREIRA FARIAS MAIA,8/21/91,34,Brasil,603
AREMA FC,BRI SUPER LEAGUE 2025-26,ACHMAD MAULANA SYARIF,4/24/03,23,Indonesia,211
AREMA FC,BRI SUPER LEAGUE 2025-26,Agusti Ardiansyah,8/18/07,18,Indonesia,0
AREMA FC,BRI SUPER LEAGUE 2025-26,ARKHAN FIKRI,12/28/04,21,Indonesia,1849
AREMA FC,BRI SUPER LEAGUE 2025-26,ASWIN,5/10/03,23,Indonesia,0
AREMA FC,BRI SUPER LEAGUE 2025-26,FIKRI ARJIDAN,2/8/04,22,Indonesia,26
AREMA FC,BRI SUPER LEAGUE 2025-26,MUHAMMAD DIMAS ARYAGUNA,8/9/05,20,Indonesia,0
AREMA FC,BRI SUPER LEAGUE 2025-26,MUHAMMAD IKSAN LESTALUHU,10/13/03,22,Indonesia,736
AREMA FC,BRI SUPER LEAGUE 2025-26,SALIM AKBAR TUHAREA,2/13/04,22,Indonesia,698
AREMA FC,BRI SUPER LEAGUE 2025-26,TEUKU RAZZAA FACHREZI AZIZ,6/4/04,22,Indonesia,4
BALI UNITED FC,BRI SUPER LEAGUE 2025-26,BAGAS ADI NUGROHO,3/8/97,29,Indonesia,866
BALI UNITED FC,BRI SUPER LEAGUE 2025-26,BORIS KOPITOVIC,4/27/95,31,Montenegro,2604
BALI UNITED FC,BRI SUPER LEAGUE 2025-26,BRANDON JAMES WILSON,1/28/97,29,Australia,784
BALI UNITED FC,BRI SUPER LEAGUE 2025-26,DIEGO DE JESUS CAMPOS BALLESTERO,10/1/95,30,Kosta Rika,565
BALI UNITED FC,BRI SUPER LEAGUE 2025-26,DIKRI YUSRON AFAFA,1/8/95,31,Indonesia,0
BALI UNITED FC,BRI SUPER LEAGUE 2025-26,FITRUL DWI RUSTAPA,6/5/95,30,Indonesia,0
BALI UNITED FC,BRI SUPER LEAGUE 2025-26,I GEDE AGUS MAHENDRA,6/1/02,24,Indonesia,0
BALI UNITED FC,BRI SUPER LEAGUE 2025-26,I KADEK AGUNG WIDNYANA PUTRA,6/25/98,27,Indonesia,2186
BALI UNITED FC,BRI SUPER LEAGUE 2025-26,I MADE ANDHIKA PRADANA WIJAYA,7/12/96,29,Indonesia,816
BALI UNITED FC,BRI SUPER LEAGUE 2025-26,IRFAN JAYA,5/1/96,30,Indonesia,1258
BALI UNITED FC,BRI SUPER LEAGUE 2025-26,JOAO VITOR FERRARI SILVA,6/25/97,28,Brasil,2461
BALI UNITED FC,BRI SUPER LEAGUE 2025-26,JORDY DENNIS BRUIJN,7/23/96,29,Belanda,1408
BALI UNITED FC,BRI SUPER LEAGUE 2025-26,MIKE HAUPTMEIJER,3/18/97,29,Belanda,3060
BALI UNITED FC,BRI SUPER LEAGUE 2025-26,MIRZA MUSTAFIC,6/20/98,27,Luxembourg,1046
BALI UNITED FC,BRI SUPER LEAGUE 2025-26,RAHMAT,5/28/88,38,Indonesia,252
BALI UNITED FC,BRI SUPER LEAGUE 2025-26,RICKY FAJRIN SAPUTRA,9/6/95,30,Indonesia,2761
BALI UNITED FC,BRI SUPER LEAGUE 2025-26,RIZKY DWI FEBRIANTO,2/22/97,29,Indonesia,1129
BALI UNITED FC,BRI SUPER LEAGUE 2025-26,TEPPEI YACHIDA,11/1/01,24,Japan,1349
BALI UNITED FC,BRI SUPER LEAGUE 2025-26,THIJMEN GOPPEL,2/16/97,29,Belanda,3003
BALI UNITED FC,BRI SUPER LEAGUE 2025-26,TIM CHARLES PIETER RECEVEUR,7/30/91,34,Belanda,2768
BALI UNITED FC,BRI SUPER LEAGUE 2025-26,YUSUF MEILANA FUAD BURHANI,5/4/98,28,Indonesia,520
BALI UNITED FC,BRI SUPER LEAGUE 2025-26,DEWA GEDE ARIS SANJAYA,4/17/07,19,Indonesia,0
BALI UNITED FC,BRI SUPER LEAGUE 2025-26,I KOMANG DEDI NOVA TRI GUNAWAN,11/23/03,22,Indonesia,0
BALI UNITED FC,BRI SUPER LEAGUE 2025-26,I MADE TITO WIRATAMA,7/31/03,22,Indonesia,198
BALI UNITED FC,BRI SUPER LEAGUE 2025-26,I PUTU PANJI APRIAWAN,4/2/08,18,Indonesia,0
BALI UNITED FC,BRI SUPER LEAGUE 2025-26,I WAYAN ARTA WIGUNA,10/1/06,19,Indonesia,0
BALI UNITED FC,BRI SUPER LEAGUE 2025-26,JENS RAVEN,10/12/05,20,Indonesia,406
BALI UNITED FC,BRI SUPER LEAGUE 2025-26,KADEK AREL PRIYATNA,4/4/05,21,Indonesia,2193
BALI UNITED FC,BRI SUPER LEAGUE 2025-26,MAOURI ANANDA YVES RAMLI SIMON,11/9/06,19,Indonesia,288
BALI UNITED FC,BRI SUPER LEAGUE 2025-26,NATHAN ARI PRAMANA,8/3/06,19,Indonesia,0
BALI UNITED FC,BRI SUPER LEAGUE 2025-26,RAHMAT ARJUNA RESKI,4/30/04,22,Indonesia,1698
BALI UNITED FC,BRI SUPER LEAGUE 2025-26,REYNER IMMANUELO BARUSU,12/27/05,20,Indonesia,269
BHAYANGKARA PRESISI LAMPUNG FC,BRI SUPER LEAGUE 2025-26,ALAN CARDOSO DE ANDRADE,1/5/98,28,Brasil,920
BHAYANGKARA PRESISI LAMPUNG FC,BRI SUPER LEAGUE 2025-26,AWAN SETHO RAHARJO,3/20/97,29,Indonesia,431
BHAYANGKARA PRESISI LAMPUNG FC,BRI SUPER LEAGUE 2025-26,BERNARD HENRI CEDRIC DOUMBIA,11/11/92,33,Denmark,1432
BHAYANGKARA PRESISI LAMPUNG FC,BRI SUPER LEAGUE 2025-26,DENDY SULISTYAWAN,10/12/96,29,Indonesia,1322
BHAYANGKARA PRESISI LAMPUNG FC,BRI SUPER LEAGUE 2025-26,FAREED SADAT,11/10/98,27,Finland,683
BHAYANGKARA PRESISI LAMPUNG FC,BRI SUPER LEAGUE 2025-26,FIRZA ANDIKA,5/11/99,27,Indonesia,1683
BHAYANGKARA PRESISI LAMPUNG FC,BRI SUPER LEAGUE 2025-26,I PUTU GEDE JUNI ANTARA,6/7/95,30,Indonesia,2268
BHAYANGKARA PRESISI LAMPUNG FC,BRI SUPER LEAGUE 2025-26,ILIJA SPASOJEVIC,9/11/87,38,Indonesia,865
BHAYANGKARA PRESISI LAMPUNG FC,BRI SUPER LEAGUE 2025-26,JEAN MARIE PRIVAT BEFOLO MBARGA,1/7/92,34,Cameroon,1568
BHAYANGKARA PRESISI LAMPUNG FC,BRI SUPER LEAGUE 2025-26,MOISÉS WOLSCHICK,9/24/94,31,Brasil,2146
BHAYANGKARA PRESISI LAMPUNG FC,BRI SUPER LEAGUE 2025-26,MOUSSA SIDIBE,11/24/94,31,Mali,1423
BHAYANGKARA PRESISI LAMPUNG FC,BRI SUPER LEAGUE 2025-26,MUCHAMAD AQIL SAVIK,1/17/99,27,Indonesia,2600
BHAYANGKARA PRESISI LAMPUNG FC,BRI SUPER LEAGUE 2025-26,NEHAR SADIKI,3/16/98,28,FYR Macedonia,2752
BHAYANGKARA PRESISI LAMPUNG FC,BRI SUPER LEAGUE 2025-26,RAKASURYA HANDIKA ARYABAGASAKTI,6/13/00,25,Indonesia,29
BHAYANGKARA PRESISI LAMPUNG FC,BRI SUPER LEAGUE 2025-26,RYAN KURNIA,6/28/96,29,Indonesia,440
BHAYANGKARA PRESISI LAMPUNG FC,BRI SUPER LEAGUE 2025-26,RYO MATSUMURA,6/15/94,31,Japan,667
BHAYANGKARA PRESISI LAMPUNG FC,BRI SUPER LEAGUE 2025-26,SANI RIZKI FAUZI,1/7/98,28,Indonesia,1169
BHAYANGKARA PRESISI LAMPUNG FC,BRI SUPER LEAGUE 2025-26,SHO YAMAMOTO,11/12/96,29,Japan,1994
BHAYANGKARA PRESISI LAMPUNG FC,BRI SUPER LEAGUE 2025-26,Slavko Damjanovic,9/2/92,33,Serbia,2567
BHAYANGKARA PRESISI LAMPUNG FC,BRI SUPER LEAGUE 2025-26,T. M ICHSAN,11/25/97,28,Indonesia,725
BHAYANGKARA PRESISI LAMPUNG FC,BRI SUPER LEAGUE 2025-26,VINICIUS LEONARDO DA SILVA,4/22/00,26,Brasil,619
BHAYANGKARA PRESISI LAMPUNG FC,BRI SUPER LEAGUE 2025-26,WAHYU SUBO SETO,7/16/93,32,Indonesia,2186
BHAYANGKARA PRESISI LAMPUNG FC,BRI SUPER LEAGUE 2025-26,EVANDRA FLORASTA,6/17/08,17,Indonesia,35
BHAYANGKARA PRESISI LAMPUNG FC,BRI SUPER LEAGUE 2025-26,FADLY ALBERTO HENGGA,6/22/08,17,Indonesia,0
BHAYANGKARA PRESISI LAMPUNG FC,BRI SUPER LEAGUE 2025-26,FERRE MURARI,7/26/05,20,Indonesia,0
BHAYANGKARA PRESISI LAMPUNG FC,BRI SUPER LEAGUE 2025-26,FRENGKY DEANER MISSA,2/20/04,22,Indonesia,1260
BHAYANGKARA PRESISI LAMPUNG FC,BRI SUPER LEAGUE 2025-26,GINANJAR WAHYU RAMADHANI,11/20/03,22,Indonesia,264
BHAYANGKARA PRESISI LAMPUNG FC,BRI SUPER LEAGUE 2025-26,JI DA BIN,3/3/06,20,Indonesia,0
BHAYANGKARA PRESISI LAMPUNG FC,BRI SUPER LEAGUE 2025-26,MUHAMMAD FERARRI,6/21/03,22,Indonesia,783
BHAYANGKARA PRESISI LAMPUNG FC,BRI SUPER LEAGUE 2025-26,RAHMAT SYAWAL,11/5/05,20,Indonesia,0
BHAYANGKARA PRESISI LAMPUNG FC,BRI SUPER LEAGUE 2025-26,SULTAN JABBAR HILMANSYAH,7/30/08,17,Indonesia,0
BORNEO FC SAMARINDA,BRI SUPER LEAGUE 2025-26,AHMAD AGUNG SETIA BUDI,3/9/96,30,Indonesia,167
BORNEO FC SAMARINDA,BRI SUPER LEAGUE 2025-26,ARDI IDRUS,1/22/93,33,Indonesia,512
BORNEO FC SAMARINDA,BRI SUPER LEAGUE 2025-26,CHRISTOPHE NDUWARUGIRA,6/22/94,31,Burundi,2879
BORNEO FC SAMARINDA,BRI SUPER LEAGUE 2025-26,DIEGO ROBBIE MICHIELS,8/8/90,35,Indonesia,168
BORNEO FC SAMARINDA,BRI SUPER LEAGUE 2025-26,HABIBI A. JUSUF,8/5/98,27,Indonesia,0
BORNEO FC SAMARINDA,BRI SUPER LEAGUE 2025-26,IKHSAN NUL ZIKRAK,11/8/02,23,Indonesia,314
BORNEO FC SAMARINDA,BRI SUPER LEAGUE 2025-26,JOSE CLEYLTON DE MORAIS DOS SANTOS,3/19/93,33,Brasil,2006
BORNEO FC SAMARINDA,BRI SUPER LEAGUE 2025-26,JUAN FELIPE VILLA RUIZ,10/10/99,26,Colombia,2693
BORNEO FC SAMARINDA,BRI SUPER LEAGUE 2025-26,Kaio Nunes Ferreira,1/11/96,30,Brasil,557
BORNEO FC SAMARINDA,BRI SUPER LEAGUE 2025-26,KEI HIROSE,11/20/95,30,Japan,2979
BORNEO FC SAMARINDA,BRI SUPER LEAGUE 2025-26,KOLDO OBIETA ALBERDI,10/8/93,32,Spain,1206
BORNEO FC SAMARINDA,BRI SUPER LEAGUE 2025-26,KOMANG TEGUH TRISNANDA,4/28/02,24,Indonesia,2631
BORNEO FC SAMARINDA,BRI SUPER LEAGUE 2025-26,M SIHRAN H AMARULLAH,3/8/99,27,Indonesia,803
BORNEO FC SAMARINDA,BRI SUPER LEAGUE 2025-26,MARCOS EMANUEL ASTINA,1/21/96,30,Argentina,456
BORNEO FC SAMARINDA,BRI SUPER LEAGUE 2025-26,MARIANO EZEQUIEL PERALTA BAUER,2/20/98,28,Argentina,3039
BORNEO FC SAMARINDA,BRI SUPER LEAGUE 2025-26,MOHAMAD BAKER EL HOUSSEINI,12/18/02,23,Lebanon,298
BORNEO FC SAMARINDA,BRI SUPER LEAGUE 2025-26,Mohammad Anez,5/14/95,31,Syria,453
BORNEO FC SAMARINDA,BRI SUPER LEAGUE 2025-26,MOHAMMAD KHANAFI,3/27/97,29,Indonesia,169
BORNEO FC SAMARINDA,BRI SUPER LEAGUE 2025-26,NADEO ARGA WINATA,3/9/97,29,Indonesia,3059
BORNEO FC SAMARINDA,BRI SUPER LEAGUE 2025-26,REYKI FARIZ RAMADHAN,11/4/05,20,Indonesia,0
BORNEO FC SAMARINDA,BRI SUPER LEAGUE 2025-26,SYAHRUL TRISNA FADILLAH,11/26/95,30,Indonesia,0
BORNEO FC SAMARINDA,BRI SUPER LEAGUE 2025-26,WESTHERLEY GARCIA NOGUEIRA,1/23/97,29,Brasil,2932
BORNEO FC SAMARINDA,BRI SUPER LEAGUE 2025-26,ANDHIKA PUTRA SETIAWAN,1/27/06,20,Indonesia,0
BORNEO FC SAMARINDA,BRI SUPER LEAGUE 2025-26,DIKA ADI NURDIANSYAH,10/27/07,18,Indonesia,3
BORNEO FC SAMARINDA,BRI SUPER LEAGUE 2025-26,RISNANDA FAUSTA RAFA,4/25/07,19,Indonesia,0
BORNEO FC SAMARINDA,BRI SUPER LEAGUE 2025-26,CAMARA OUSMANE MAIKET,10/4/07,18,Indonesia,0
BORNEO FC SAMARINDA,BRI SUPER LEAGUE 2025-26,DAFFA FASYA SUMAWIJAYA,5/7/04,22,Indonesia,0
BORNEO FC SAMARINDA,BRI SUPER LEAGUE 2025-26,DIKA KUSWARDANI,3/5/03,23,Indonesia,42
BORNEO FC SAMARINDA,BRI SUPER LEAGUE 2025-26,MUH. DWIKY HARDIANSYAH,4/19/04,22,Indonesia,415
BORNEO FC SAMARINDA,BRI SUPER LEAGUE 2025-26,MUH. REDZUAN FACHGI,3/8/05,21,Indonesia,29
BORNEO FC SAMARINDA,BRI SUPER LEAGUE 2025-26,MUHAMAD RAYHAN PUTRA UTINA,8/8/04,21,Indonesia,0
BORNEO FC SAMARINDA,BRI SUPER LEAGUE 2025-26,Muhammad Alfharezzi Buffon,4/28/06,20,Indonesia,1394
BORNEO FC SAMARINDA,BRI SUPER LEAGUE 2025-26,MUHAMMAD NARENDRA TEGAR ISLAMI,2/6/06,20,Indonesia,0
BORNEO FC SAMARINDA,BRI SUPER LEAGUE 2025-26,RIVALDO ENERO PAKPAHAN,1/20/03,23,Indonesia,2211
DEWA UNITED BANTEN FC,BRI SUPER LEAGUE 2025-26,ADY SETIAWAN,9/10/94,31,Indonesia,71
DEWA UNITED BANTEN FC,BRI SUPER LEAGUE 2025-26,ALEX MARTINS FERREIRA,7/8/93,32,Brasil,2755
DEWA UNITED BANTEN FC,BRI SUPER LEAGUE 2025-26,ALEXIS NAHUEL MESSIDORO,5/13/97,29,Argentina,2531
DEWA UNITED BANTEN FC,BRI SUPER LEAGUE 2025-26,ALTALARIQ ERFA AQSAL BALLAH,12/30/00,25,Indonesia,1413
DEWA UNITED BANTEN FC,BRI SUPER LEAGUE 2025-26,BRIAN FATARI,12/20/99,26,Indonesia,2018
DEWA UNITED BANTEN FC,BRI SUPER LEAGUE 2025-26,DAMION ONANDI LOWE,5/5/93,33,Jamaika,990
DEWA UNITED BANTEN FC,BRI SUPER LEAGUE 2025-26,EGY MAULANA VIKRI,7/7/00,25,Indonesia,1413
DEWA UNITED BANTEN FC,BRI SUPER LEAGUE 2025-26,HUGO GOMES DOS SANTOS SILVA,3/18/95,31,Brasil,1672
DEWA UNITED BANTEN FC,BRI SUPER LEAGUE 2025-26,JOHNATHAN CARLOS PEREIRA SOUZA,4/4/95,31,Brasil,1441
DEWA UNITED BANTEN FC,BRI SUPER LEAGUE 2025-26,KODAI TANAKA,12/23/99,26,Japan,1678
DEWA UNITED BANTEN FC,BRI SUPER LEAGUE 2025-26,M NATSHIR FADHIL MAHBUBY,2/13/93,33,Indonesia,0
DEWA UNITED BANTEN FC,BRI SUPER LEAGUE 2025-26,MOH. EDO FEBRIANSAH,7/25/97,28,Indonesia,1760
DEWA UNITED BANTEN FC,BRI SUPER LEAGUE 2025-26,NICK ANNA MARIA FRANCOIS KUIPERS,10/8/92,33,Netherlands,2331
DEWA UNITED BANTEN FC,BRI SUPER LEAGUE 2025-26,NOAH WAIL SADAOUI,9/14/92,33,Amerika Serikat,835
DEWA UNITED BANTEN FC,BRI SUPER LEAGUE 2025-26,RANGGA MUSLIM PERKASA,5/13/94,32,Indonesia,2
DEWA UNITED BANTEN FC,BRI SUPER LEAGUE 2025-26,RICKI KAMBUAYA,5/5/96,30,Indonesia,2259
DEWA UNITED BANTEN FC,BRI SUPER LEAGUE 2025-26,SONNY RICARDO MARCIANO STEVENS,6/22/92,33,Netherlands,3060
DEWA UNITED BANTEN FC,BRI SUPER LEAGUE 2025-26,STEFANO JANTJE LILIPALY,1/10/90,36,Indonesia,1279
DEWA UNITED BANTEN FC,BRI SUPER LEAGUE 2025-26,TAISEI MARUKAWA,1/30/97,29,Japan,2096
DEWA UNITED BANTEN FC,BRI SUPER LEAGUE 2025-26,THEO FILLO B.D. NUMBERI,9/1/01,24,Indonesia,818
DEWA UNITED BANTEN FC,BRI SUPER LEAGUE 2025-26,VINICIUS DUARTE,12/3/96,29,Brasil,602
DEWA UNITED BANTEN FC,BRI SUPER LEAGUE 2025-26,WAHYU PRASETYO,3/21/98,28,Indonesia,1025
DEWA UNITED BANTEN FC,BRI SUPER LEAGUE 2025-26,YOFANDANI DAMAI PRANATA,4/9/01,25,Indonesia,0
DEWA UNITED BANTEN FC,BRI SUPER LEAGUE 2025-26,DAFA AL GASEMI SETIAWARMAN,2/12/08,18,Indonesia,0
DEWA UNITED BANTEN FC,BRI SUPER LEAGUE 2025-26,IVAR JENNER,1/10/04,22,Indonesia,962
DEWA UNITED BANTEN FC,BRI SUPER LEAGUE 2025-26,MUHAMMAD KAFIATUR RIZKY,7/17/06,19,Indonesia,329
DEWA UNITED BANTEN FC,BRI SUPER LEAGUE 2025-26,MUHAMMAD TORES AZIZ KHADAFI,7/2/08,17,Indonesia,0
DEWA UNITED BANTEN FC,BRI SUPER LEAGUE 2025-26,RAFAEL WILLIAM STRUICK,3/27/03,23,Indonesia,646
DEWA UNITED BANTEN FC,BRI SUPER LEAGUE 2025-26,Rizdjar Nurviat Subagja,1/2/06,20,Indonesia,588
DEWA UNITED BANTEN FC,BRI SUPER LEAGUE 2025-26,TRISTAN RAISSA IBRAHIM,1/24/08,18,Indonesia,0
MADURA UNITED FC,BRI SUPER LEAGUE 2025-26,ADHITYA HARLAN,6/17/87,38,Indonesia,22
MADURA UNITED FC,BRI SUPER LEAGUE 2025-26,AHMAD NUFIANDANI,11/20/94,31,Indonesia,587
MADURA UNITED FC,BRI SUPER LEAGUE 2025-26,AJI KUSUMA,1/30/99,27,Indonesia,779
MADURA UNITED FC,BRI SUPER LEAGUE 2025-26,EMERSON SANTOS DE SOUZA,12/18/97,28,Brasil,228
MADURA UNITED FC,BRI SUPER LEAGUE 2025-26,FRANSISKUS ALESANDRO NIMO OLEPUE,7/12/02,23,Indonesia,1313
MADURA UNITED FC,BRI SUPER LEAGUE 2025-26,GIOVANI JORIM HERZON DACOSTA NUMBERI,4/22/00,26,Indonesia,2284
MADURA UNITED FC,BRI SUPER LEAGUE 2025-26,ILHAM SYAH,7/2/99,26,Indonesia,224
MADURA UNITED FC,BRI SUPER LEAGUE 2025-26,IRAN DA CONCEICAO GONCALVES JUNIOR,10/10/95,30,Brasil,1404
MADURA UNITED FC,BRI SUPER LEAGUE 2025-26,JASEY MICHAEL BERNARD WEHRMANN,7/3/05,20,Belanda,5
MADURA UNITED FC,BRI SUPER LEAGUE 2025-26,JORDY HENDRIK NICOLAUS WEHRMANN,3/25/99,27,Belanda,2596
MADURA UNITED FC,BRI SUPER LEAGUE 2025-26,Jorge Ambrosio Mendonça,8/15/95,30,Brasil,1723
MADURA UNITED FC,BRI SUPER LEAGUE 2025-26,JOSE BRANDAO GONCALVES JUNIOR,1/7/95,31,Brasil,914
MADURA UNITED FC,BRI SUPER LEAGUE 2025-26,KARTIKA VEDHAYANTO PUTRA,1/25/02,24,Indonesia,0
MADURA UNITED FC,BRI SUPER LEAGUE 2025-26,KERIM PALIC,1/24/97,29,Bosnia And Herzegovina,3048
MADURA UNITED FC,BRI SUPER LEAGUE 2025-26,LUIZ MARCELO MORAIS DOS REIS,4/10/90,36,Brasil,2291
MADURA UNITED FC,BRI SUPER LEAGUE 2025-26,M Taufany Muslihuddin,3/24/02,24,Indonesia,1009
MADURA UNITED FC,BRI SUPER LEAGUE 2025-26,MAKE ALDO MAULIDINO,7/22/98,27,Indonesia,0
MADURA UNITED FC,BRI SUPER LEAGUE 2025-26,MISWAR SAPUTRA NURDIN,4/19/96,30,Indonesia,1440
MADURA UNITED FC,BRI SUPER LEAGUE 2025-26,MOCH. DIKY INDRIYANA,6/4/97,29,Indonesia,1598
MADURA UNITED FC,BRI SUPER LEAGUE 2025-26,NOVAN SETYA SASONGKO,11/26/89,36,Indonesia,891
MADURA UNITED FC,BRI SUPER LEAGUE 2025-26,NUR DIANSYAH,12/18/98,27,Indonesia,478
MADURA UNITED FC,BRI SUPER LEAGUE 2025-26,PAULO OKTAVIANUS SITANGGANG,10/17/95,30,Indonesia,747
MADURA UNITED FC,BRI SUPER LEAGUE 2025-26,PEDRO FILIPE TINOCO MONTEIRO,1/30/94,32,Portugal,2880
MADURA UNITED FC,BRI SUPER LEAGUE 2025-26,RIQUELME SOUSA SILVA,7/2/01,24,Brasil,761
MADURA UNITED FC,BRI SUPER LEAGUE 2025-26,ROGER BONET BADIA,4/11/95,31,Spain,2720
MADURA UNITED FC,BRI SUPER LEAGUE 2025-26,SATRIO AZHAR AIS’Y SANTOSO,6/1/01,25,Indonesia,0
MADURA UNITED FC,BRI SUPER LEAGUE 2025-26,TAUFIK HIDAYAT,3/20/93,33,Indonesia,1117
MADURA UNITED FC,BRI SUPER LEAGUE 2025-26,AHMAD RUSADI,4/4/03,23,Indonesia,1240
MADURA UNITED FC,BRI SUPER LEAGUE 2025-26,FERIAN RIZKI MAULANA,1/18/03,23,Indonesia,548
MADURA UNITED FC,BRI SUPER LEAGUE 2025-26,M RISKI AFRISAL,4/25/06,20,Indonesia,279
MADURA UNITED FC,BRI SUPER LEAGUE 2025-26,rendy razzaqu mochtar,1/8/08,18,Indonesia,0
MADURA UNITED FC,BRI SUPER LEAGUE 2025-26,YUDA EDITYA PRATAMA,5/31/04,22,Indonesia,45
MALUT UNITED FC,BRI SUPER LEAGUE 2025-26,ALAN JOSE BERNARDON,6/22/94,31,Brasil,1162
MALUT UNITED FC,BRI SUPER LEAGUE 2025-26,ANGGA SAPUTRO,11/30/93,32,Indonesia,1563
MALUT UNITED FC,BRI SUPER LEAGUE 2025-26,CIRO HENRIQUE ALVES FERREIRA E SILVA,4/18/89,37,Brasil,2614
MALUT UNITED FC,BRI SUPER LEAGUE 2025-26,DAVID APARECIDO DA SILVA,11/12/89,36,Brasil,2778
MALUT UNITED FC,BRI SUPER LEAGUE 2025-26,FREDYAN WAHYU SUGIYANTORO,4/11/98,28,Indonesia,0
MALUT UNITED FC,BRI SUPER LEAGUE 2025-26,FRETS LISTANTO BUTUAN,6/4/96,30,Indonesia,551
MALUT UNITED FC,BRI SUPER LEAGUE 2025-26,GUSTAVO MORENO DE FRANCA,7/20/96,29,Brasil,2439
MALUT UNITED FC,BRI SUPER LEAGUE 2025-26,IGOR INOCENCIO DE OLIVEIRA,4/20/98,28,Brasil,2397
MALUT UNITED FC,BRI SUPER LEAGUE 2025-26,LUCAS CARDOSO SOARES,6/8/96,29,Brasil,752
MALUT UNITED FC,BRI SUPER LEAGUE 2025-26,M RIDWAN,3/26/91,35,Indonesia,335
MALUT UNITED FC,BRI SUPER LEAGUE 2025-26,MANAHATI LESTUSEN,12/17/93,32,Indonesia,634
MALUT UNITED FC,BRI SUPER LEAGUE 2025-26,MUHAMMAD ABDUH LESTALUHU,10/16/93,32,Indonesia,574
MALUT UNITED FC,BRI SUPER LEAGUE 2025-26,MUHAMMAD ALWI SLAMAT,12/16/98,27,Indonesia,436
MALUT UNITED FC,BRI SUPER LEAGUE 2025-26,MUHAMMAD DIMAS DRAJAD,3/30/97,29,Indonesia,171
MALUT UNITED FC,BRI SUPER LEAGUE 2025-26,NILSON BARBOSA NASCIMENTO J FIALHO,9/9/91,34,Brasil,1906
MALUT UNITED FC,BRI SUPER LEAGUE 2025-26,RISWAN H LAUHIM,8/8/98,27,Indonesia,234
MALUT UNITED FC,BRI SUPER LEAGUE 2025-26,RIZKY A. S. PELLU,6/26/92,33,Indonesia,34
MALUT UNITED FC,BRI SUPER LEAGUE 2025-26,SAFRUDIN TAHAR,12/13/93,32,Indonesia,1758
MALUT UNITED FC,BRI SUPER LEAGUE 2025-26,SEPTIAN DAVID MAULANA,9/2/96,29,Indonesia,322
